	text	label	cleaned_text
1507	Government at all levels should work with faithbased institutions that have proven track records in diverting young and first time, nonviolent offenders from criminal careers, for which we salute them.	0	Government level work faithbased institution proven track record diverting young first time nonviolent offender criminal career salute them
1818	The situation is dangerous and violence against prison officers is rising.	0	The situation dangerous violence prison officer rising
1452	we must sustain our preeminence in space,	0	must sustain preeminence space
1368	enforcing the Hobbs Act against labor violence,	0	enforcing Hobbs Act labor violence
1242	For example, there was a Tuvan republic, there will be the Kyzyl district of the Krasnoyarsk Territory.	0	For example Tuvan republic Kyzyl district Krasnoyarsk Territory
1929	Currently Canada's Tentative List for World Heritage Sites, which is an inventory of candidate sites to be considered for designation by the World Heritage Committee, only has seven potential sites on it and has not been updated in over a decade.	0	Currently Canadas Tentative List World Heritage Sites inventory candidate site considered designation World Heritage Committee seven potential site updated decade
1262	It is necessary to convince our women that giving birth and educating children is very fashionable and honorable.	0	It necessary convince woman giving birth educating child fashionable honorable
1810	The Conservatives promised and failed to deliver 100 per cent exit checks at the borders.	0	The Conservatives promised failed deliver 100 per cent exit check border
1318	This is a land of opportunity.	0	This land opportunity
1049	repeal the Protection of Lawful Commerce in Arms Act (PLCAA) to revoke the dangerous legal immunity protections gun makers and sellers now enjoy;	0	repeal Protection Lawful Commerce Arms Act PLCAA revoke dangerous legal immunity protection gun maker seller enjoy
1446	The doublelayered  fencing  on  the  border  that  was  enacted  by  Congress in  2006,  but  never  completed, must  finally  be  built.  	0	The doublelayered fencing border enacted Congress 2006 never completed must finally built
1142	Inscribing in the Constitution the principle: “The Republic does not recognize any community.	0	Inscribing Constitution principle “The Republic recognize community
1968	– as well as a majority of those who actually turn out to vote.	0	– well majority actually turn vote
1345	It is the lived reality that expresses the aspirations of all our people.	0	It lived reality express aspiration people
1971	This applies to civil partnerships too, and the transferable amount will always rise at least in line with the Personal Allowance.	0	This applies civil partnership too transferable amount always rise least line Personal Allowance
1133	Effectively fight against tax evasion	0	Effectively fight tax evasion
1104	Reconstitute the workforce suppressed in customs by the recruitment of 6,000 agents during the five -year term.	0	Reconstitute workforce suppressed custom recruitment 6000 agent five year term
1006	The stakes have been high in previous elections.	0	The stake high previous election
1600	The others will be repeated without delay to their country so that they do not become illegal immigrants.	0	The others repeated without delay country become illegal immigrant
1496	parental involvement;	0	parental involvement
1702	But with annual net migration standing at 273,000, immigration to Britain is still too high.	0	But annual net migration standing 273000 immigration Britain still high
1472	just as we oppose euthanasia and assisted suicide,	0	oppose euthanasia assisted suicide
1598	· We will strengthen the learning of our language for candidates for naturalization.	0	· We strengthen learning language candidate naturalization
1502	It is effective, sciencebased, and empowers teens to achieve optimal health outcomes and avoid risks of sexual activity.	0	It effective sciencebased empowers teen achieve optimal health outcome avoid risk sexual activity
1433	There must be no use of foreign law by U.S. courts in interpreting our Constitution and laws.	0	There must use foreign law US court interpreting Constitution law
507	Donald Trump would inflame the conflict by alienating our allies,	1	Donald Trump would inflame conflict alienating ally
818	Instead, what this Administration has given us is 42 consecutive months of unemployment above 8 percent, the longest period of high unemployment since the Great Depression.	1	Instead Administration given u 42 consecutive month unemployment 8 percent longest period high unemployment since Great Depression
452	We recognize that quality, affordable comprehensive health care, evidence-based sex education and a full range of family planning services help reduce the number of unintended pregnancies and thereby also reduce the need for abortions.	1	We recognize quality affordable comprehensive health care evidencebased sex education full range family planning service help reduce number unintended pregnancy thereby also reduce need abortion
368	and believe the Constitution protects not only the powerful, but also the disadvantaged and powerless.	1	believe Constitution protects powerful also disadvantaged powerless
242	Democrats will fight for the continued development of sex discrimination law to cover LGBT people.	1	Democrats fight continued development sex discrimination law cover LGBT people
929	Individuals with preexisting conditions who maintain continuous insurance coverage should be protected from discrimination.	1	Individuals preexisting condition maintain continuous insurance coverage protected discrimination
262	We support strengthening rural water, sewer, and broadband infrastructure to make rural businesses more competitive.	1	We support strengthening rural water sewer broadband infrastructure make rural business competitive
810	The American Dream is a dream of equal opportunity for all.	1	The American Dream dream equal opportunity all
318	and good-paying jobs for the hardworking people of Puerto Rico.	1	goodpaying job hardworking people Puerto Rico
49	We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,	1	We fight pas law direct National Labor Relations Board certify union simple majority eligible worker sign valid authorization card
446	—regardless of where she lives, how much money she makes, or how she is insured.	1	—regardless life much money make insured
142	—and we are committed to facing those problems and fixing them.	1	—and committed facing problem fixing them
