text	label	cleaned_text
Contrary to the Conservative government’s rhetoric, they have not taken control of our borders or strengthened our national security.	0	Contrary Conservative government’s rhetoric taken control border strengthened national security
We also support Ohio’s proposed Voters Bill of Rights amendment, North Carolina’s Moral Monday movement, and similar initiatives to permanently safeguard this inalienable right.	1	We also support Ohio’s proposed Voters Bill Rights amendment North Carolina’s Moral Monday movement similar initiative permanently safeguard inalienable right
and urge their expansion in the Middle East.	0	urge expansion Middle East
83. Provide comprehensive support to Orthodoxy	0	83 Provide comprehensive support Orthodoxy
For example, African Americans and Latinos lost more than half of their net worth as a result of the housing crisis and the Great Recession, because they lost jobs at a much faster rate than white workers and because they were disproportionately targeted for subprime, predatory, and fraudulent mortgages during the run-up to the housing crisis.	1	For example African Americans Latinos lost half net worth result housing crisis Great Recession lost job much faster rate white worker disproportionately targeted subprime predatory fraudulent mortgage runup housing crisis
Meanwhile, Canadians are still making new discoveries about our history, like last year's discovery of HMS Erebus.	0	Meanwhile Canadians still making new discovery history like last year discovery HMS Erebus
We will encourage better police-community relations, require the use of body cameras, and stop the use of weapons of war that have no place in our communities.	1	We encourage better policecommunity relation require use body camera stop use weapon war place community
that device and drug jobs stay in the U.S.	1	device drug job stay US
We will establish an affirmative process for workers to report labor violations and to request deferred action.	1	We establish affirmative process worker report labor violation request deferred action
U.S. aid  should  be  based  on  the  model  of  the  Millennium Challenge  Corporation,  for  which  foreign  governments  must,  in  effect,  compete  for  the  dollars  by showing  respect  for  the  rule  of  law,  free  enterprise, and  measurable  results.	1	US aid based model Millennium Challenge Corporation foreign government must effect compete dollar showing respect rule law free enterprise measurable result
Faithful to the “selfevident” truths enshrined in the Declaration of Independence, we assert the sanctity of human life	1	Faithful “selfevident” truth enshrined Declaration Independence assert sanctity human life
It is also propping up the Assad regime in Syria, which is brutally attacking its own citizens.	1	It also propping Assad regime Syria brutally attacking citizen
, stands for the rights of individuals, families, faith communities, institutions –	1	stand right individual family faith community institution –
and global health.	1	global health
To support the Human First in our Constitentcy, Our Candidates Will Act for: 1. The Fight Against inequalities	1	To support Human First Constitentcy Our Candidates Will Act for 1 The Fight Against inequality
And we will back these efforts through robust investments in effective tribal law enforcement and tribal courts.	1	And back effort robust investment effective tribal law enforcement tribal court
In this climate, recorded disability hate crime has increased.	0	In climate recorded disability hate crime increased
and that neither fear nor immigration status should be barriers that impede health care access.	1	neither fear immigration status barrier impede health care access
Defend the French higher education model, which goes through the complementarity of the university and the grandes écoles.	0	Defend French higher education model go complementarity university grandes écoles
We will put the National Data Guardian for Health and Social Care on a statutory footing to ensure data security standards are properly enforced.	0	We put National Data Guardian Health Social Care statutory footing ensure data security standard properly enforced
and we support the campaigns underway in several other States to do so.	0	support campaign underway several States so
Guarantee the amount of subsidies whose criteria will be set by France and no longer by the European Union, with the objective of saving and supporting the French model of family farms.	1	Guarantee amount subsidy whose criterion set France longer European Union objective saving supporting French model family farm
Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.	1	Democrats believe provide federal resource people struggling unaffordable housing lowincome family people disability veteran elderly
Across the country, there are police officers inspiring trust and confidence, honorably doing their duty, deploying creative and effective strategies, and demonstrating that it is possible to prevent crime without relying on unnecessary force.	1	Across country police officer inspiring trust confidence honorably duty deploying creative effective strategy demonstrating possible prevent crime without relying unnecessary force
and assures that all Americans stand equal before the law.	1	assures Americans stand equal law
It is time that our people rediscover the solidarity that is proper to them and return to act as a true national community that protects and protects all citizens, without unjustified differentiations.	1	It time people rediscover solidarity proper return act true national community protects protects citizen without unjustified differentiation
For example, there was a Tuvan republic, there will be the Kyzyl district of the Krasnoyarsk Territory.	0	For example Tuvan republic Kyzyl district Krasnoyarsk Territory
The level of violence against women and girls is not acceptable.	0	The level violence woman girl acceptable
emphasizing trade while increasing development assistance to bolster the continent’s domestic economies.	1	emphasizing trade increasing development assistance bolster continent’s domestic economy
Inscribing in the Constitution the principle: “The Republic does not recognize any community.	0	Inscribing Constitution principle “The Republic recognize community
We will manage for tribal sacred places,	1	We manage tribal sacred place
It was the Russians who carried out the severity of all revolutions, all wars, all reforms, perestroika.	0	It Russians carried severity revolution war reform perestroika
Entering any international organizations put in the first place the interests of Russia.	0	Entering international organization put first place interest Russia
We will always seek to uphold our values at home and abroad, not just when it is easy, but when it is hard.	0	We always seek uphold value home abroad easy hard
policies to balance work and family,	1	policy balance work family
It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.	1	It also includes promoting votebymail increase voter participation help address scourge voter suppression
We cannot walk away from our position of global leadership and allow other countries to make decisions about our lives, jobs, and safety.	0	We cannot walk away position global leadership allow country make decision life job safety
It is the foundation of our society and the first level of selfgovernment.	0	It foundation society first level selfgovernment
We need to amplify the voices of the American people through a small donor matching public financing system.	1	We need amplify voice American people small donor matching public financing system
Maintain local hospitals as much as possible and increase the staff of the hospital public service.	1	Maintain local hospital much possible increase staff hospital public service
We applaud President Obama’s historic Presidential Memorandum on International Initiatives to Advance the Human Rights of Lesbian, Gay, Bisexual, and Transgender Persons, which combats criminalization, protects refugees, and provides foreign assistance.	1	We applaud President Obama’s historic Presidential Memorandum International Initiatives Advance Human Rights Lesbian Gay Bisexual Transgender Persons combat criminalization protects refugee provides foreign assistance
and reform the role of the Certification Officer.	0	reform role Certification Officer
Fear is now the one we can experience when we go to a station, on the terrace of a coffee, to a gathering that could be a target for terrorists.	0	Fear one experience go station terrace coffee gathering could target terrorist
That is why we insist that public policy, from taxation to education, from healthcare to welfare, be formulated with attention to the needs and strengths of the family.	0	That insist public policy taxation education healthcare welfare formulated attention need strength family
We face a similar challenge today.	0	We face similar challenge today
While pension law may be complicated, the current bottom line is that many plans are increasingly underfunded by overestimating their rates of return on investments.	1	While pension law may complicated current bottom line many plan increasingly underfunded overestimating rate return investment
· We will redefine social dialogue.	0	· We redefine social dialogue
When companies close, there is no form of the labor market that can protect employment.	1	When company close form labor market protect employment
Its daily lessons–cooperation, patience, mutual respect, responsibility, selfreliance – are fundamental to the order and progress of our Republic.	0	Its daily lessons–cooperation patience mutual respect responsibility selfreliance – fundamental order progress Republic
And the Arctic itself is a key element of our national identity.	0	And Arctic key element national identity
so the rewards are shared broadly, not just with those at the top.	1	reward shared broadly top
We renew our call for replacing “family planning” programs for teens with abstinence education which teaches abstinence until marriage as the responsible and respected standard of behavior.	0	We renew call replacing “family planning” program teen abstinence education teach abstinence marriage responsible respected standard behavior
The modern joint stock company is a British invention.	0	The modern joint stock company British invention
Our great forests are among the features that define us most as a country, and our forestry industry has been a source of prosperity since before Confederation.	0	Our great forest among feature define u country forestry industry source prosperity since Confederation
They are not even said about them even in the Constitution of Russia.	0	They even said even Constitution Russia
Increase in wages	1	Increase wage
ending social promotions;	1	ending social promotion
the vast majority of Muslims believe in a future of peace and tolerance.	1	vast majority Muslims believe future peace tolerance
In 2016, Democrats meet in Philadelphia with the same basic belief that animated the Continental Congress when they gathered here 240 years ago: Out of many, we are one.	0	In 2016 Democrats meet Philadelphia basic belief animated Continental Congress gathered 240 year ago Out many one
"Who Aspire to Bring Out a Left Comb and Value, a Left that acts in the name of ""The Human First""!"""""	1	Who Aspire Bring Out Left Comb Value Left act name The Human First
Return to your homeland. ”	0	Return homeland ”
A re-elected Conservative Government will consider the panel's report as it determines how best to respond to the Supreme Court decision.	0	A reelected Conservative Government consider panel report determines best respond Supreme Court decision
lowers U.S. wages,	1	lower US wage
and will work towards fair and equitable treatment under federal programs.	1	work towards fair equitable treatment federal program
Restore national unworthiness for individuals guilty of crimes and crimes linked to Islamist terrorism.	0	Restore national unworthiness individual guilty crime crime linked Islamist terrorism
To create good-paying middle class jobs that cannot be outsourced,	1	To create goodpaying middle class job cannot outsourced
Our relations must continue to be based upon the provisions of the Taiwan Relations Act.	1	Our relation must continue based upon provision Taiwan Relations Act
Reconnect with patriotism without giving up our multiple stories and our European project.	0	Reconnect patriotism without giving multiple story European project
Effectively fight against tax evasion	0	Effectively fight tax evasion
There is the overseas France.	0	There overseas France
LGBT kids continue to be bullied at school, restaurants can refuse to serve transgender people, and same-sex couples are at risk of being evicted from their homes. That is unacceptable and must change.	1	LGBT kid continue bullied school restaurant refuse serve transgender people samesex couple risk evicted home That unacceptable must change
Government at all levels should work with faithbased institutions that have proven track records in diverting young and first time, nonviolent offenders from criminal careers, for which we salute them.	0	Government level work faithbased institution proven track record diverting young first time nonviolent offender criminal career salute them
That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.	1	That committed everything build fullemployment economy everyone job pay enough raise family live dignity sense purpose
Let us give depties who will not submit to contempt for democracy!	1	Let u give depties submit contempt democracy
especially women and people of color,	1	especially woman people color
To create real conditions for the full life of disabled people, one should immediately ratify the UN Convention on the Rights of Disabled,	1	To create real condition full life disabled people one immediately ratify UN Convention Rights Disabled
Democrats believe that our country must make supporting the millions of individuals with autism and those diagnosed in the future and their families a priority.	1	Democrats believe country must make supporting million individual autism diagnosed future family priority
To make the Russian language be studied throughout the country fully - without bills and exemptions, and spread Russian language culture in other countries.	0	To make Russian language studied throughout country fully without bill exemption spread Russian language culture country
We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.	1	We protect intellectual property right artist creator inventor home abroad
especially of journalists	1	especially journalist
It is necessary to criminally pursue the heads of enterprises of all forms of ownership for the underestimation of the minimum wage established by law.	1	It necessary criminally pursue head enterprise form ownership underestimation minimum wage established law
and look toward the development of security systems that can replace the personal violation of frisking.	1	look toward development security system replace personal violation frisking
Because security is the first of our freedoms.	0	Because security first freedom
Many of these organizations need reform and updating,	0	Many organization need reform updating
Relaunch of female employment, guaranteeing part-time and spreading teleworking;	1	Relaunch female employment guaranteeing parttime spreading teleworking
In particular, repeal the provisions of the Fioraso law which make it possible to restrict teaching in French in universities.	0	In particular repeal provision Fioraso law make possible restrict teaching French university
